report_date	category	revenue
31/03/2022	Blouse	280.0
31/03/2022	Set	51532.0
31/03/2022	Top	4511.0
31/03/2022	Western Dress	5479.0
31/03/2022	kurta	33008.0
01/04/2022	Blouse	6225.0
01/04/2022	Bottom	878.0
01/04/2022	Ethnic Dress	11466.0
01/04/2022	Set	475418.0
01/04/2022	Top	64521.0
01/04/2022	Western Dress	74996.0
01/04/2022	kurta	241043.0
02/04/2022	Blouse	9603.0
02/04/2022	Bottom	1693.0
02/04/2022	Ethnic Dress	14537.0
02/04/2022	Saree	648.0
02/04/2022	Set	932536.0
02/04/2022	Top	114489.0
02/04/2022	Western Dress	147554.0
02/04/2022	kurta	464597.0
03/04/2022	Blouse	16359.0
03/04/2022	Bottom	1934.0
03/04/2022	Ethnic Dress	18380.0
03/04/2022	Saree	4964.0
03/04/2022	Set	1416387.0
03/04/2022	Top	178626.0
03/04/2022	Western Dress	209017.0
03/04/2022	kurta	670229.0
04/04/2022	Blouse	14714.0
04/04/2022	Bottom	2034.0
04/04/2022	Ethnic Dress	15111.0
04/04/2022	Saree	4964.0
04/04/2022	Set	1443993.0
04/04/2022	Top	181285.0
04/04/2022	Western Dress	208210.0
04/04/2022	kurta	679157.0
05/04/2022	Blouse	14084.0
05/04/2022	Bottom	3562.0
05/04/2022	Ethnic Dress	17677.0
05/04/2022	Saree	4316.0
05/04/2022	Set	1485886.0
05/04/2022	Top	190504.0
05/04/2022	Western Dress	193319.0
05/04/2022	kurta	708704.0
06/04/2022	Blouse	12041.0
06/04/2022	Bottom	4368.0
06/04/2022	Ethnic Dress	21262.0
06/04/2022	Saree	899.0
06/04/2022	Set	1345328.0
06/04/2022	Top	172053.0
06/04/2022	Western Dress	214035.0
06/04/2022	kurta	738570.0
07/04/2022	Blouse	18340.0
07/04/2022	Bottom	6121.0
07/04/2022	Ethnic Dress	19329.0
07/04/2022	Saree	2901.0
07/04/2022	Set	1342147.0
07/04/2022	Top	153762.0
07/04/2022	Western Dress	224343.0
07/04/2022	kurta	742320.0
08/04/2022	Blouse	21284.0
08/04/2022	Bottom	6522.0
08/04/2022	Ethnic Dress	20444.0
08/04/2022	Saree	5380.0
08/04/2022	Set	1318663.0
08/04/2022	Top	154550.0
08/04/2022	Western Dress	323759.0
08/04/2022	kurta	701581.0
09/04/2022	Blouse	21143.0
